bioguide_id,display_name,party,state,pc0,pc1,pc2,pc3
W000798,Tim Walberg,Republican,MI,22.793626121281786,5.796915480129402,0.19406049174016823,-4.579460870787974
W000797,Debbie Wasserman Schultz,Democrat,FL,-24.264263851900935,0.8356356126619856,4.2632369519234725,-0.10212037931861029
W000187,Maxine Waters,Democrat,CA,-25.432386975272085,-3.8439846903718515,-4.96266766720956,-1.0416276059891696
W000806,Daniel Webster,Republican,FL,25.118017464282666,-2.1063071436315473,1.2636062585066283,-1.4560268470013553
W000795,Joe Wilson,Republican,SC,25.029864234277913,0.18404112428797434,1.9642779441697473,-2.8968360663864945
W000808,Frederica S. Wilson,Democrat,FL,-23.710997256104502,-0.6040946991761361,-0.26003340094982036,-1.4156880757802277
W000804,Robert J. Wittman,Republican,VA,24.250213482927574,2.751022681404847,1.7169559334708904,-5.266674767685418
W000809,Steve Womack,Republican,AR,15.574033166772907,16.227822185954704,-4.086638083224846,3.734787800528507
A000369,Mark E. Amodei,Republican,NV,20.031639046165083,9.631638435627933,-2.19322986795346,-1.0482733522731926
B001278,Suzanne Bonamici,Democrat,OR,-24.14045582263938,-2.836983780865815,-6.407245445970741,-1.5745201525212715
D000617,Suzan K. DelBene,Democrat,WA,-25.30682656468696,-1.1523910431828066,1.1950400208764314,-1.3783925098091057
M001184,Thomas Massie,Republican,KY,24.3188610029412,-16.45140667311896,-6.617216126048858,6.384841594492257
F000454,Bill Foster,Democrat,IL,-24.87049989970939,-0.4294521799077386,1.7246250681302158,-1.101315771194031
T000468,Dina Titus,Democrat,NV,-23.53410168181211,0.6740507528738141,3.9854568130625103,0.6167894702063769
H001068,Jared Huffman,Democrat,CA,-25.268882872439104,-3.325642701404456,-5.45813828815528,-1.4308718396485889
B001287,Ami Bera,Democrat,CA,-24.54775869151015,0.46556890008962615,3.67057570832744,-0.3867350943247969
B001285,Julia Brownley,Democrat,CA,-24.98575892331379,0.11728748586019012,2.555907928182945,-1.231032665498618
R000599,Raul Ruiz,Democrat,CA,-24.84883060974753,-0.26739004880325884,3.046904044364059,-0.2892022283511272
T000472,Mark Takano,Democrat,CA,-26.05054232140227,-3.41091783064505,-5.575604496482686,-2.1817920833727675
V000130,Juan Vargas,Democrat,CA,-25.212551630663718,-2.133974164992223,-1.4337002070658789,-1.0296062938461858
P000608,Scott H. Peters,Democrat,CA,-23.78283553132553,1.261953786063901,4.555372178039045,0.12556083103226356
F000462,Lois Frankel,Democrat,FL,-23.971046225822995,0.5589569460675834,2.7386203996358085,-0.4074328676757303
B001282,Andy Barr,Republican,KY,22.595894217416525,5.130039978145273,0.11271758896423432,-4.608398055005093
W000812,Ann Wagner,Republican,MO,16.847332496603173,13.86574811305176,-3.1234532513158704,1.4786747137416043
H001067,Richard Hudson,Republican,NC,22.700647901663952,2.999567354532773,0.18611937474704868,-1.1206834582759362
M001188,Grace Meng,Democrat,NY,-25.007375289482898,-1.899212253328238,-1.1368269910353215,-0.49963039279360905
J000294,Hakeem S. Jeffries,Democrat,NY,-25.578134359324764,-0.7390141781760764,0.8113293486290769,-2.208996401642437
B001281,Joyce Beatty,Democrat,OH,-25.099549494150523,-2.2769200877985654,-1.3342558276331344,-2.7461865444883875
J000295,David P. Joyce,Republican,OH,12.07446709550619,15.126616376336536,-3.449743628300637,5.030669136874701
P000605,Scott Perry,Republican,PA,28.132483238821525,-14.639470318582534,-1.2092449838157706,8.565662312150828
W000814,"Randy K. Weber, Sr.",Republican,TX,28.40510163627135,-8.484081434261256,2.4725022070121083,-0.5251806787653699
C001091,Joaquin Castro,Democrat,TX,-23.207378505494844,-4.88556118340107,-4.278027535935809,-1.2866836150789545
W000816,Roger Williams,Republican,TX,27.51325099986588,-9.053039032303186,2.9658330072868386,-0.8160595110171395
V000131,Marc A. Veasey,Democrat,TX,-22.4754523232614,1.856976561776655,3.972445568285917,0.564199954128099
P000607,Mark Pocan,Democrat,WI,-24.883366533319023,-5.244013447685151,-6.3406836674066165,-0.8291264904301523
K000385,Robin L. Kelly,Democrat,IL,-25.139282026181878,-2.104620653015726,-1.369946285714923,-0.9634839210639715
S001195,Jason Smith,Republican,MO,25.671845370806004,-2.4792044806981415,1.5025484377064362,-2.874376566502081
C001101,Katherine M. Clark,Democrat,MA,-26.022645410580786,-1.1471982470575672,-0.6641915454316837,-2.416296789670967
N000188,Donald Norcross,Democrat,NJ,-22.417212654847553,1.1177190765826859,5.404444422584322,1.2583413961994148
A000370,Alma S. Adams,Democrat,NC,-25.671443402094933,-1.8420735275192504,-1.264632734695617,-1.8634589787382412
P000609,Gary J. Palmer,Republican,AL,26.947197094473516,-4.21488743620219,2.0404086389542906,-3.496295051858073
H001072,J. French Hill,Republican,AR,20.991743000565315,7.512011424123591,0.16460646102800044,-3.739900837258814
W000821,Bruce Westerman,Republican,AR,25.06928425252117,1.1525189449432536,0.8824633199357481,-5.74430962402485
D000623,Mark DeSaulnier,Democrat,CA,-25.442014244557708,-3.6891971058488844,-3.7184201101853134,-1.5878754713773562
A000371,Pete Aguilar,Democrat,CA,-25.280879888955923,0.13285551821186148,2.238896239325134,-1.6403494641401524
L000582,Ted Lieu,Democrat,CA,-24.368427738219104,-1.1886173687279167,-0.4745288651359248,-0.8570127137177477
T000474,Norma J. Torres,Democrat,CA,-24.762027021231013,0.429470603905335,3.9374430574155124,-0.6767981217517777
C001103,"Earl L. ""Buddy"" Carter",Republican,GA,23.944793521419676,2.3644981178262054,1.7646751093806858,-3.945180490525674
L000583,Barry Loudermilk,Republican,GA,26.762528923972702,-5.175340387851163,2.172260799679783,-2.0012483039427473
