component_idx,direction,vote_id,loading,question,category,date
2,pos,2023/h698,0.11735947689861488,"H.Amdt. 830 (Molinaro) to H.R. 5933: To add a requirement that foreign entities disclose any ties to designated foreign terrorist organizations, which includes Hamas.",amendment,2023-12-06T17:01:00
2,pos,2023/h26,0.11723292650276156,H.Res. 11 (118th): Establishing the Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party.,passage,2023-01-10T16:20:00
2,pos,2024/h152,0.1136742044466345,"H.R. 8034 (118th): Israel Security Supplemental Appropriations Act, 2024",passage,2024-04-20T13:57:00
2,pos,2023/h227,0.11281209924060691,H.Con.Res. 40 (118th): Expressing support for local law enforcement officers and condemning efforts to defund or dismantle local law enforcement agencies.,passage,2023-05-18T10:53:00
2,pos,2023/h623,0.11264296128524547,H.Amdt. 657 (Molinaro) to H.R. 4664: To increase and decrease funding by $21 million for the Committee on Foreign Investment in the United States to encourage the Committee to evaluate the rising threat of farmland owned by adversarial nations.,amendment,2023-11-08T14:33:00
2,pos,2023/h31,0.11094451587443427,H.R. 22 (118th): Protecting America’s Strategic Petroleum Reserve from China Act,passage,2023-01-12T11:02:00
2,pos,2024/h145,0.10985506756909945,H.R. 8038 (118th): 21st Century Peace through Strength Act,passage,2024-04-20T13:12:00
2,pos,2023/h177,0.10796805024672841,"H.Amdt. 162 (Ogles) to H.R. 1: To provide that any entity subject to the jurisdiction of the Government of the Peoples Republic of China, or any entity that is owned by the Government of the Peoples Republic of China may not acquire any interest with res",amendment,2023-03-30T11:14:00
2,pos,2023/h174,0.10577772551652598,H.Amdt. 151 (Westerman) to H.R. 1: To prohibit the Communist Party of China (or a person acting on behalf of the Communist Party of China) from acquiring any interest with respect to American farmland or any lands used for American renewable energy produ,amendment,2023-03-30T11:01:00
2,pos,2024/h141,0.10541577779350182,H.Res. 1143 (118th): Condemning Iran’s unprecedented drone and missile attack on Israel.,passage,2024-04-18T10:57:00
2,pos,2023/h687,0.10312927474847905,H.R. 5961 (118th): No Funds for Iranian Terrorism Act,passage,2023-11-30T16:55:00
2,pos,2023/h237,0.10191293502415893,H.R. 467 (118th): HALT Fentanyl Act,passage,2023-05-25T10:28:00
2,pos,2023/h680,0.10163673939019642,"H.Amdt. 813 (Fitzpatrick) to H.R. 5961: To add findings that condemn Hamas and Iran-backed terror groups for using ""human shields"" and that only the unconditional surrender of Hamas and other Iran-backed terror groups will save innocent civilian lives.",amendment,2023-11-30T16:25:00
2,pos,2023/h491,0.09946489741837328,H.Amdt. 478 (Tenney) to H.R. 4665: To prohibit funds to move the U.S. Embassy in Israel out of Jerusalem.,amendment,2023-09-28T22:03:00
2,pos,2024/h116,0.09848123383879133,H.Amdt. 879 (Crenshaw) to H.R. 7888: To modify the definition of foreign intelligence under section 702.,amendment,2024-04-12T12:36:00
2,neg,2023/h545,-0.10025023963339355,"H.Amdt. 507 (Garamendi) to H.R. 4394: To prohibit funds for the W87-1 modification program to enable additional analysis of the underlying program justifications, planning and budget.",amendment,2023-10-26T12:50:00
2,neg,2023/h136,-0.09829420636328415,"H.Con.Res. 21 (118th): Directing the President, pursuant to section 5(c) of the War Powers Resolution, to remove the United States Armed Forces from Syria.",passage,2023-03-08T17:56:00
2,neg,2024/h264,-0.09329607856545932,H.Amdt. 974 (Gaetz) to H.R. 8070: To prohibit the transfer of cluster munitions.,amendment,2024-06-13T17:17:00
2,neg,2023/h544,-0.09324411986587537,H.Amdt. 506 (Garamendi) to H.R. 4394: To prohibit funding for plutonium pit production at the Savannah River Plutonium Processing Facility.,amendment,2023-10-26T12:47:00
2,neg,2023/h439,-0.09260534089153087,H.Amdt. 370 (Gaetz) to H.R. 4365: To prohibit funds made available by the bill from being used to transfer cluster munitions.,amendment,2023-09-27T18:18:00
2,neg,2023/h497,-0.09180621760082924,H.Amdt. 484 (Massie) to H.R. 4665: To prevent funds made available by this Act from being used to transfer cluster munitions to any foreign country.,amendment,2023-09-28T22:23:00
2,neg,2024/h114,-0.09039658166450397,"H.Amdt. 876 (Biggs) to H.R. 7888: To prohibit warrantless searches of U.S. person communications in the FISA 702 database, with exceptions for imminent threats to life or bodily harm, consent searches, or known cybersecurity threat signatures.",amendment,2024-04-12T12:27:00
2,neg,2024/h329,-0.09016901152765407,"H.Amdt. 1081 (Titus) to H.R. 8774: To prohibit funds in the bill from being used to acquire, use, transfer, or sell cluster munitions.",amendment,2024-06-28T10:23:00
2,neg,2023/h201,-0.08595637530236051,"H.Con.Res. 30 (118th): Directing the President, pursuant to section 5(c) of the War Powers Resolution, to remove all United States Armed Forces, other than United States Armed Forces assigned to protect the United States Embassy, from Somalia.",passage,2023-04-27T16:32:00
2,neg,2023/h317,-0.08267383222038222,H.Amdt. 243 (Greene) to H.R. 2670: To prohibit cluster munitions or cluster munitions technology be sold or transferred to Ukraine.,amendment,2023-07-13T22:55:00
2,neg,2024/h136,-0.08185654219301365,H.R. 4639 (118th): Fourth Amendment Is Not For Sale Act,passage,2024-04-17T17:48:00
