bioguide_id,display_name,party,state,row_idx
L000273,Teresa Leger Fernandez,Democrat,NM,260
G000597,Andrew R. Garbarino,Republican,NY,261
M000317,Nicole Malliotakis,Republican,NY,262
T000486,Ritchie Torres,Democrat,NY,263
B000740,Stephanie I. Bice,Republican,OK,264
B000668,Cliff Bentz,Republican,OR,265
M000194,Nancy Mace,Republican,SC,266
H001086,Diana Harshbarger,Republican,TN,267
F000246,Pat Fallon,Republican,TX,268
P000048,August Pfluger,Republican,TX,269
J000304,Ronny Jackson,Republican,TX,270
N000026,Troy E. Nehls,Republican,TX,271
V000134,Beth Van Duyne,Republican,TX,272
M001213,Blake D. Moore,Republican,UT,273
O000086,Burgess Owens,Republican,UT,274
S001159,Marilyn Strickland,Democrat,WA,275
F000471,Scott Fitzgerald,Republican,WI,276
T000478,Claudia Tenney,Republican,NY,277
L000595,Julia Letlow,Republican,LA,278
C001125,Troy A. Carter,Democrat,LA,279
S001218,Melanie A. Stansbury,Democrat,NM,280
E000071,Jake Ellzey,Republican,TX,281
B001313,Shontel M. Brown,Democrat,OH,282
C001126,Mike Carey,Republican,OH,283
F000474,Mike Flood,Republican,NE,284
F000475,Brad Finstad,Republican,MN,285
R000579,Patrick Ryan,Democrat,NY,286
Y000067,Rudy Yakym III,Republican,IN,287
Z000018,Ryan K. Zinke,Republican,MT,288
S001220,Dale W. Strong,Republican,AL,289
C001132,Elijah Crane,Republican,AZ,290
C001133,Juan Ciscomani,Republican,AZ,291
K000401,Kevin Kiley,Independent,CA,292
M001225,Kevin Mullin,Democrat,CA,293
K000400,Sydney Kamlager-Dove,Democrat,CA,294
G000598,Robert Garcia,Democrat,CA,295
P000620,Brittany Pettersen,Democrat,CO,296
B001314,Aaron Bean,Republican,FL,297
M001216,Cory Mills,Republican,FL,298
F000476,Maxwell Frost,Democrat,FL,299
L000596,Anna Paulina Luna,Republican,FL,300
L000597,Laurel M. Lee,Republican,FL,301
M001217,Jared Moskowitz,Democrat,FL,302
M001218,Richard McCormick,Republican,GA,303
C001129,Mike Collins,Republican,GA,304
T000487,Jill N. Tokuda,Democrat,HI,305
N000193,Zachary Nunn,Republican,IA,306
J000309,Jonathan L. Jackson,Democrat,IL,307
R000617,Delia C. Ramirez,Democrat,IL,308
B001315,Nikki Budzinski,Democrat,IL,309
S001225,Eric Sorensen,Democrat,IL,310
